order_id;customer_id;order_date;delivery_due_date;priority_level;total_weight_kg;total_volume_cbm;pallet_count;goods_type;material;plant;storage_location;goods_sensitivity;pickup_location_id;delivery_location_id;promised_eta;order_status;price
ORD-0006565;CUST-02864;2026-01-18;2026-01-20;Medium;977;14,58;14;Auto Parts;MAT-6421;KOL-PLANT;SL-3;Normal;WH-KOL-01;WH-BHU-01;2026-01-20 06:00;Confirmed;250254
ORD-0006566;CUST-00507;2026-03-07;2026-03-09;Low;2153;11,74;12;Machinery;MAT-5543;PUN-PLANT;SL-15;Temperature Controlled;WH-PUN-01;WH-NAG-01;2026-03-09 06:00;Confirmed;186996
ORD-0006567;CUST-01950;2026-02-17;2026-02-19;High;1842;19,58;8;Pharma;MAT-4978;HYD-PLANT;SL-10;Temperature Controlled;WH-HYD-01;WH-VIZ-01;2026-02-19 06:00;Confirmed;270793
ORD-0006568;CUST-00005;2026-03-17;2026-03-19;Medium;1925;18,23;8;Pharma;MAT-2219;AHM-PLANT;SL-11;Hazardous;WH-AHM-01;WH-JAI-01;2026-03-19 06:00;Confirmed;602062
ORD-0006569;CUST-02303;2026-01-23;2026-01-25;Low;2910;24,73;28;Electronics;MAT-5861;LUC-PLANT;SL-7;Hazardous;WH-LUC-01;WH-DEL-01;2026-01-25 06:00;Confirmed;228578
ORD-0006570;CUST-00416;2026-01-22;2026-01-24;Low;1431;9,51;25;Textiles;MAT-7841;IND-PLANT;SL-14;Normal;WH-IND-01;WH-MUM-01;2026-01-24 06:00;Confirmed;359242
ORD-0006571;CUST-00048;2026-01-14;2026-01-16;Medium;3988;17,78;23;Auto Parts;MAT-8618;COI-PLANT;SL-5;Temperature Controlled;WH-COI-01;WH-CHE-01;2026-01-16 06:00;Confirmed;682574
ORD-0006572;CUST-00990;2026-03-05;2026-03-07;Medium;2070;8,99;29;Electronics;MAT-3562;PAT-PLANT;SL-9;Temperature Controlled;WH-PAT-01;WH-KOL-01;2026-03-07 06:00;Confirmed;292216
ORD-0006573;CUST-01564;2026-01-14;2026-01-16;High;2341;16,35;7;Auto Parts;MAT-1972;RAN-PLANT;SL-3;Temperature Controlled;WH-RAN-01;WH-DEL-01;2026-01-16 06:00;Confirmed;608768
ORD-0006574;CUST-02768;2026-02-15;2026-02-17;High;1018;3,79;9;FMCG;MAT-3070;GUW-PLANT;SL-15;Temperature Controlled;WH-GUW-01;WH-SIL-01;2026-02-17 06:00;Confirmed;609945
ORD-0006575;CUST-00867;2026-01-18;2026-01-20;Low;2739;11,09;18;Textiles;MAT-1370;BAN-PLANT;SL-3;Temperature Controlled;WH-BAN-01;WH-MYS-01;2026-01-20 06:00;Confirmed;74194
ORD-0006576;CUST-00583;2026-01-02;2026-01-04;Low;2114;3,44;28;Pharma;MAT-7167;BAN-PLANT;SL-14;Fragile;WH-BAN-01;WH-HYD-01;2026-01-04 06:00;Confirmed;161074
ORD-0006577;CUST-01497;2026-02-22;2026-02-24;High;2028;22,2;19;FMCG;MAT-4058;BAN-PLANT;SL-10;Temperature Controlled;WH-BAN-01;WH-CHE-01;2026-02-24 06:00;Confirmed;731104
ORD-0006578;CUST-02001;2026-01-10;2026-01-12;Medium;2375;2,65;6;Steel;MAT-3800;BAN-PLANT;SL-14;Fragile;WH-BAN-01;WH-MUM-01;2026-01-12 06:00;Confirmed;489797
ORD-0006579;CUST-00655;2026-03-02;2026-03-04;Low;2626;7,88;26;Steel;MAT-5883;BAN-PLANT;SL-13;Fragile;WH-BAN-01;WH-DEL-01;2026-03-04 06:00;Confirmed;324160
ORD-0006580;CUST-00570;2026-01-02;2026-01-04;Medium;3094;6,86;17;Textiles;MAT-3240;DEL-PLANT;SL-2;Fragile;WH-DEL-01;WH-MUM-01;2026-01-04 06:00;Confirmed;316967
ORD-0006581;CUST-00905;2026-02-16;2026-02-18;High;3112;19,37;26;Electronics;MAT-1479;DEL-PLANT;SL-10;Hazardous;WH-DEL-01;WH-KOL-01;2026-02-18 06:00;Confirmed;650129
ORD-0006582;CUST-02497;2026-02-28;2026-03-02;Low;1588;12,56;1;Electronics;MAT-5501;DEL-PLANT;SL-13;Hazardous;WH-DEL-01;WH-JAI-01;2026-03-02 06:00;Confirmed;135680
ORD-0006583;CUST-00024;2026-02-15;2026-02-17;Medium;3938;18,9;18;Textiles;MAT-3890;MUM-PLANT;SL-11;Normal;WH-MUM-01;WH-AHM-01;2026-02-17 06:00;Confirmed;273073
ORD-0006584;CUST-02006;2026-01-20;2026-01-22;Medium;921;22,9;7;FMCG;MAT-3687;MUM-PLANT;SL-2;Normal;WH-MUM-01;WH-PUN-01;2026-01-22 06:00;Confirmed;312037
ORD-0006585;CUST-02856;2026-02-23;2026-02-25;Medium;2388;23,87;22;Steel;MAT-7478;MUM-PLANT;SL-14;Temperature Controlled;WH-MUM-01;WH-SUR-01;2026-02-25 06:00;Confirmed;499680
ORD-0006586;CUST-01990;2026-03-17;2026-03-19;High;2126;7,77;18;FMCG;MAT-3089;CHE-PLANT;SL-4;Fragile;WH-CHE-01;WH-HYD-01;2026-03-19 06:00;Confirmed;262044
ORD-0006587;CUST-00664;2026-01-28;2026-01-30;Medium;1532;21,36;26;Pharma;MAT-1739;CHE-PLANT;SL-5;Hazardous;WH-CHE-01;WH-KOL-01;2026-01-30 06:00;Confirmed;113715
ORD-0006588;CUST-01678;2026-02-14;2026-02-16;Low;3063;7,47;4;Textiles;MAT-4102;CHE-PLANT;SL-4;Hazardous;WH-CHE-01;WH-BAN-01;2026-02-16 06:00;Confirmed;175972
ORD-0006589;CUST-00941;2026-02-07;2026-02-09;High;1432;18,86;24;FMCG;MAT-8125;KOL-PLANT;SL-13;Temperature Controlled;WH-KOL-01;WH-GUW-01;2026-02-09 06:00;Confirmed;186275
ORD-0006590;CUST-01930;2026-01-26;2026-01-28;High;1537;1,58;12;Steel;MAT-7128;KOL-PLANT;SL-14;Temperature Controlled;WH-KOL-01;WH-BHU-01;2026-01-28 06:00;Confirmed;104860
ORD-0006591;CUST-00942;2026-03-19;2026-03-21;Low;420;10,56;7;Machinery;MAT-5509;PUN-PLANT;SL-15;Temperature Controlled;WH-PUN-01;WH-NAG-01;2026-03-21 06:00;Confirmed;652044
ORD-0006592;CUST-00801;2026-02-27;2026-03-01;Medium;1098;9,69;1;Electronics;MAT-3260;HYD-PLANT;SL-15;Normal;WH-HYD-01;WH-VIZ-01;2026-03-01 06:00;Confirmed;707492
ORD-0006593;CUST-01093;2026-02-17;2026-02-19;Low;3430;12,11;26;Auto Parts;MAT-3904;AHM-PLANT;SL-4;Hazardous;WH-AHM-01;WH-JAI-01;2026-02-19 06:00;Confirmed;309514
ORD-0006594;CUST-02588;2026-03-07;2026-03-09;Medium;736;19,53;27;Pharma;MAT-7467;LUC-PLANT;SL-13;Temperature Controlled;WH-LUC-01;WH-DEL-01;2026-03-09 06:00;Confirmed;739786
ORD-0006595;CUST-02761;2026-02-11;2026-02-13;Low;2318;18,01;12;Machinery;MAT-1630;IND-PLANT;SL-12;Fragile;WH-IND-01;WH-MUM-01;2026-02-13 06:00;Confirmed;590560
ORD-0006596;CUST-01403;2026-01-19;2026-01-21;High;577;3,24;17;Electronics;MAT-3999;COI-PLANT;SL-11;Normal;WH-COI-01;WH-CHE-01;2026-01-21 06:00;Confirmed;226000
ORD-0006597;CUST-02724;2026-01-21;2026-01-23;Medium;1754;11,34;2;Steel;MAT-8283;PAT-PLANT;SL-12;Hazardous;WH-PAT-01;WH-KOL-01;2026-01-23 06:00;Confirmed;118766
ORD-0006598;CUST-00902;2026-02-05;2026-02-07;High;2976;5,82;30;Steel;MAT-6500;RAN-PLANT;SL-3;Hazardous;WH-RAN-01;WH-DEL-01;2026-02-07 06:00;Confirmed;564979
ORD-0006599;CUST-02832;2026-03-21;2026-03-23;Low;1192;23,63;7;Textiles;MAT-1595;GUW-PLANT;SL-8;Fragile;WH-GUW-01;WH-SIL-01;2026-03-23 06:00;Confirmed;386349
ORD-0006600;CUST-01686;2026-03-27;2026-03-29;High;1385;9,45;16;Textiles;MAT-3392;BAN-PLANT;SL-12;Normal;WH-BAN-01;WH-MYS-01;2026-03-29 06:00;Confirmed;155886
ORD-0006601;CUST-01086;2026-03-09;2026-03-11;High;2546;6,48;25;Steel;MAT-7789;BAN-PLANT;SL-4;Fragile;WH-BAN-01;WH-HYD-01;2026-03-11 06:00;Confirmed;91943
ORD-0006602;CUST-02929;2026-01-30;2026-02-01;High;348;7,48;21;Machinery;MAT-1475;BAN-PLANT;SL-1;Hazardous;WH-BAN-01;WH-CHE-01;2026-02-01 06:00;Confirmed;648851
ORD-0006603;CUST-01692;2026-01-28;2026-01-30;High;1815;12,58;15;Electronics;MAT-5298;BAN-PLANT;SL-6;Fragile;WH-BAN-01;WH-MUM-01;2026-01-30 06:00;Confirmed;163596
ORD-0006604;CUST-00743;2026-01-24;2026-01-26;High;3899;2,89;17;Textiles;MAT-4904;BAN-PLANT;SL-3;Hazardous;WH-BAN-01;WH-DEL-01;2026-01-26 06:00;Confirmed;511169
ORD-0006605;CUST-02079;2026-01-27;2026-01-29;Low;2556;22,88;28;Textiles;MAT-8062;DEL-PLANT;SL-5;Hazardous;WH-DEL-01;WH-MUM-01;2026-01-29 06:00;Confirmed;360500
ORD-0006606;CUST-02092;2026-02-21;2026-02-23;Medium;601;3,95;28;Machinery;MAT-6546;DEL-PLANT;SL-6;Hazardous;WH-DEL-01;WH-KOL-01;2026-02-23 06:00;Confirmed;644688
ORD-0006607;CUST-01765;2026-01-29;2026-01-31;High;1897;14,64;13;Pharma;MAT-5516;DEL-PLANT;SL-2;Hazardous;WH-DEL-01;WH-JAI-01;2026-01-31 06:00;Confirmed;690518
ORD-0006608;CUST-00790;2026-03-20;2026-03-22;Medium;3031;7,88;2;Textiles;MAT-3717;MUM-PLANT;SL-4;Fragile;WH-MUM-01;WH-AHM-01;2026-03-22 06:00;Confirmed;469899
ORD-0006609;CUST-02295;2026-01-03;2026-01-05;Low;1762;9,14;30;Steel;MAT-6532;MUM-PLANT;SL-8;Normal;WH-MUM-01;WH-PUN-01;2026-01-05 06:00;Confirmed;431548
ORD-0006610;CUST-01038;2026-01-31;2026-02-02;Medium;612;14,01;14;Auto Parts;MAT-9264;MUM-PLANT;SL-14;Hazardous;WH-MUM-01;WH-SUR-01;2026-02-02 06:00;Confirmed;299022
ORD-0006611;CUST-00494;2026-02-08;2026-02-10;Medium;269;15,38;7;Pharma;MAT-8291;CHE-PLANT;SL-13;Hazardous;WH-CHE-01;WH-HYD-01;2026-02-10 06:00;Confirmed;609280
ORD-0006612;CUST-02507;2026-03-07;2026-03-09;Medium;3303;3,37;30;Steel;MAT-2604;CHE-PLANT;SL-8;Hazardous;WH-CHE-01;WH-KOL-01;2026-03-09 06:00;Confirmed;784222
ORD-0006613;CUST-02951;2026-03-02;2026-03-04;Low;3945;14,73;26;Machinery;MAT-7106;CHE-PLANT;SL-6;Temperature Controlled;WH-CHE-01;WH-BAN-01;2026-03-04 06:00;Confirmed;462160
ORD-0006614;CUST-01266;2026-03-11;2026-03-13;Medium;1599;16,56;13;Machinery;MAT-8419;KOL-PLANT;SL-11;Temperature Controlled;WH-KOL-01;WH-GUW-01;2026-03-13 06:00;Confirmed;314042
ORD-0006615;CUST-00786;2026-01-23;2026-01-25;Low;3790;3,75;6;Electronics;MAT-9140;KOL-PLANT;SL-6;Hazardous;WH-KOL-01;WH-BHU-01;2026-01-25 06:00;Confirmed;441024
ORD-0006616;CUST-00203;2026-01-08;2026-01-10;Medium;3260;22,48;18;Electronics;MAT-9075;PUN-PLANT;SL-1;Hazardous;WH-PUN-01;WH-NAG-01;2026-01-10 06:00;Confirmed;527994
ORD-0006617;CUST-02295;2026-02-17;2026-02-19;Low;3291;13,36;28;Machinery;MAT-8426;HYD-PLANT;SL-5;Fragile;WH-HYD-01;WH-VIZ-01;2026-02-19 06:00;Confirmed;219379
ORD-0006618;CUST-02681;2026-01-29;2026-01-31;High;958;14,46;19;Steel;MAT-9278;AHM-PLANT;SL-15;Fragile;WH-AHM-01;WH-JAI-01;2026-01-31 06:00;Confirmed;310821
ORD-0006619;CUST-00383;2026-01-03;2026-01-05;Low;3823;14,97;19;Machinery;MAT-7910;LUC-PLANT;SL-2;Temperature Controlled;WH-LUC-01;WH-DEL-01;2026-01-05 06:00;Confirmed;392959
ORD-0006620;CUST-02741;2026-03-26;2026-03-28;High;492;4,45;12;FMCG;MAT-8749;IND-PLANT;SL-7;Fragile;WH-IND-01;WH-MUM-01;2026-03-28 06:00;Confirmed;420794
ORD-0006621;CUST-02775;2026-01-30;2026-02-01;Medium;1990;7,55;8;Auto Parts;MAT-2705;COI-PLANT;SL-5;Hazardous;WH-COI-01;WH-CHE-01;2026-02-01 06:00;Confirmed;193182
ORD-0006622;CUST-02220;2026-02-07;2026-02-09;Medium;2020;13,87;2;Electronics;MAT-7837;PAT-PLANT;SL-8;Fragile;WH-PAT-01;WH-KOL-01;2026-02-09 06:00;Confirmed;663720
ORD-0006623;CUST-01955;2026-02-06;2026-02-08;Low;3925;20,13;9;Textiles;MAT-3905;RAN-PLANT;SL-5;Temperature Controlled;WH-RAN-01;WH-DEL-01;2026-02-08 06:00;Confirmed;456862
ORD-0006624;CUST-02974;2026-01-07;2026-01-09;High;1382;22,39;4;Machinery;MAT-1688;GUW-PLANT;SL-11;Normal;WH-GUW-01;WH-SIL-01;2026-01-09 06:00;Confirmed;765546
ORD-0006625;CUST-00691;2026-02-12;2026-02-14;Low;3844;22,6;3;Textiles;MAT-4074;BAN-PLANT;SL-4;Normal;WH-BAN-01;WH-MYS-01;2026-02-14 06:00;Confirmed;62733
ORD-0006626;CUST-01094;2026-03-23;2026-03-25;Medium;1103;4,59;30;Electronics;MAT-1239;BAN-PLANT;SL-2;Hazardous;WH-BAN-01;WH-HYD-01;2026-03-25 06:00;Confirmed;178424
ORD-0006627;CUST-00053;2026-01-03;2026-01-05;High;890;15,79;17;Electronics;MAT-1290;BAN-PLANT;SL-4;Normal;WH-BAN-01;WH-CHE-01;2026-01-05 06:00;Confirmed;63161
ORD-0006628;CUST-01382;2026-01-02;2026-01-04;Low;972;24,66;8;Machinery;MAT-7249;BAN-PLANT;SL-5;Normal;WH-BAN-01;WH-MUM-01;2026-01-04 06:00;Confirmed;418565
ORD-0006629;CUST-01819;2026-01-29;2026-01-31;Low;604;6,03;17;Electronics;MAT-8152;BAN-PLANT;SL-8;Temperature Controlled;WH-BAN-01;WH-DEL-01;2026-01-31 06:00;Confirmed;742065
ORD-0006630;CUST-02941;2026-01-06;2026-01-08;Low;814;22,09;12;Pharma;MAT-8797;DEL-PLANT;SL-3;Temperature Controlled;WH-DEL-01;WH-MUM-01;2026-01-08 06:00;Confirmed;325521
ORD-0006631;CUST-00629;2026-02-21;2026-02-23;Low;1332;21,98;6;Textiles;MAT-3189;DEL-PLANT;SL-4;Temperature Controlled;WH-DEL-01;WH-KOL-01;2026-02-23 06:00;Confirmed;572788
ORD-0006632;CUST-00896;2026-03-26;2026-03-28;High;1807;21,02;29;FMCG;MAT-1381;DEL-PLANT;SL-10;Hazardous;WH-DEL-01;WH-JAI-01;2026-03-28 06:00;Confirmed;392504
ORD-0006633;CUST-02438;2026-03-23;2026-03-25;Medium;2139;16,82;19;Electronics;MAT-7130;MUM-PLANT;SL-2;Normal;WH-MUM-01;WH-AHM-01;2026-03-25 06:00;Confirmed;668728
ORD-0006634;CUST-01585;2026-02-28;2026-03-02;High;2710;15,43;8;Electronics;MAT-3491;MUM-PLANT;SL-13;Temperature Controlled;WH-MUM-01;WH-PUN-01;2026-03-02 06:00;Confirmed;160599
ORD-0006635;CUST-00179;2026-01-01;2026-01-03;Medium;1241;15,2;9;Textiles;MAT-4900;MUM-PLANT;SL-10;Hazardous;WH-MUM-01;WH-SUR-01;2026-01-03 06:00;Confirmed;466355
ORD-0006636;CUST-01242;2026-03-31;2026-04-02;Low;3485;16,78;21;Electronics;MAT-4869;CHE-PLANT;SL-3;Fragile;WH-CHE-01;WH-HYD-01;2026-04-02 06:00;Confirmed;746703
ORD-0006637;CUST-02828;2026-03-18;2026-03-20;Medium;294;4,87;26;Machinery;MAT-5755;CHE-PLANT;SL-7;Fragile;WH-CHE-01;WH-KOL-01;2026-03-20 06:00;Confirmed;614294
ORD-0006638;CUST-02843;2026-03-15;2026-03-17;Low;3572;2,79;2;Pharma;MAT-3370;CHE-PLANT;SL-5;Fragile;WH-CHE-01;WH-BAN-01;2026-03-17 06:00;Confirmed;60560
ORD-0006639;CUST-01497;2026-01-31;2026-02-02;Low;2009;5,42;5;Electronics;MAT-3224;KOL-PLANT;SL-3;Temperature Controlled;WH-KOL-01;WH-GUW-01;2026-02-02 06:00;Confirmed;796268
ORD-0006640;CUST-02583;2026-03-11;2026-03-13;High;3660;24,43;3;Auto Parts;MAT-4938;KOL-PLANT;SL-14;Fragile;WH-KOL-01;WH-BHU-01;2026-03-13 06:00;Confirmed;325973
ORD-0006641;CUST-02275;2026-03-13;2026-03-15;High;368;3,57;29;Machinery;MAT-4930;PUN-PLANT;SL-6;Normal;WH-PUN-01;WH-NAG-01;2026-03-15 06:00;Confirmed;543564
ORD-0006642;CUST-02654;2026-01-16;2026-01-18;Medium;1982;24,02;4;Machinery;MAT-6664;HYD-PLANT;SL-9;Normal;WH-HYD-01;WH-VIZ-01;2026-01-18 06:00;Confirmed;297845
ORD-0006643;CUST-02546;2026-03-28;2026-03-30;High;1458;8,36;11;Auto Parts;MAT-5420;AHM-PLANT;SL-13;Hazardous;WH-AHM-01;WH-JAI-01;2026-03-30 06:00;Confirmed;112624
ORD-0006644;CUST-02880;2026-03-29;2026-03-31;Medium;2350;21,05;22;Textiles;MAT-5333;LUC-PLANT;SL-11;Temperature Controlled;WH-LUC-01;WH-DEL-01;2026-03-31 06:00;Confirmed;792613
ORD-0006645;CUST-02941;2026-03-05;2026-03-07;Medium;1832;2,33;24;Textiles;MAT-1059;IND-PLANT;SL-7;Fragile;WH-IND-01;WH-MUM-01;2026-03-07 06:00;Confirmed;215586
ORD-0006646;CUST-00254;2026-01-14;2026-01-16;High;1695;12,6;24;Textiles;MAT-8041;COI-PLANT;SL-2;Hazardous;WH-COI-01;WH-CHE-01;2026-01-16 06:00;Confirmed;289137
ORD-0006647;CUST-02748;2026-03-24;2026-03-26;High;1225;17,76;30;Machinery;MAT-6300;PAT-PLANT;SL-4;Hazardous;WH-PAT-01;WH-KOL-01;2026-03-26 06:00;Confirmed;545013
ORD-0006648;CUST-00561;2026-03-03;2026-03-05;Medium;3356;7,36;22;Steel;MAT-4129;RAN-PLANT;SL-7;Hazardous;WH-RAN-01;WH-DEL-01;2026-03-05 06:00;Confirmed;324463
ORD-0006649;CUST-01562;2026-01-01;2026-01-03;Medium;3040;11,87;29;Machinery;MAT-9358;GUW-PLANT;SL-13;Hazardous;WH-GUW-01;WH-SIL-01;2026-01-03 06:00;Confirmed;358518
ORD-0006650;CUST-00345;2026-03-19;2026-03-21;High;789;8,53;4;Machinery;MAT-5279;BAN-PLANT;SL-8;Fragile;WH-BAN-01;WH-MYS-01;2026-03-21 06:00;Confirmed;418304
ORD-0006651;CUST-01930;2026-01-27;2026-01-29;Low;1279;18,39;8;Pharma;MAT-3206;BAN-PLANT;SL-1;Fragile;WH-BAN-01;WH-HYD-01;2026-01-29 06:00;Confirmed;634570
ORD-0006652;CUST-00875;2026-02-11;2026-02-13;High;2129;23,83;2;Auto Parts;MAT-3310;BAN-PLANT;SL-4;Hazardous;WH-BAN-01;WH-CHE-01;2026-02-13 06:00;Confirmed;611352
ORD-0006653;CUST-00515;2026-02-10;2026-02-12;Medium;565;17,64;6;Textiles;MAT-6420;BAN-PLANT;SL-3;Fragile;WH-BAN-01;WH-MUM-01;2026-02-12 06:00;Confirmed;705684
ORD-0006654;CUST-01167;2026-04-01;2026-04-03;Medium;3758;2,09;28;Steel;MAT-4678;BAN-PLANT;SL-7;Temperature Controlled;WH-BAN-01;WH-DEL-01;2026-04-03 06:00;Confirmed;80934
ORD-0006655;CUST-02439;2026-02-18;2026-02-20;High;421;14,24;15;Auto Parts;MAT-4657;DEL-PLANT;SL-6;Hazardous;WH-DEL-01;WH-MUM-01;2026-02-20 06:00;Confirmed;156494
ORD-0006656;CUST-01284;2026-03-12;2026-03-14;High;2350;21,49;13;Machinery;MAT-7082;DEL-PLANT;SL-3;Normal;WH-DEL-01;WH-KOL-01;2026-03-14 06:00;Confirmed;555411
ORD-0006657;CUST-02713;2026-02-01;2026-02-03;Low;1853;14,46;4;Electronics;MAT-3451;DEL-PLANT;SL-6;Temperature Controlled;WH-DEL-01;WH-JAI-01;2026-02-03 06:00;Confirmed;746860
ORD-0006658;CUST-01265;2026-02-11;2026-02-13;Medium;1613;7,26;11;Machinery;MAT-3161;MUM-PLANT;SL-9;Fragile;WH-MUM-01;WH-AHM-01;2026-02-13 06:00;Confirmed;731454
ORD-0006659;CUST-00549;2026-03-01;2026-03-03;High;1995;4,45;26;Pharma;MAT-2304;MUM-PLANT;SL-6;Hazardous;WH-MUM-01;WH-PUN-01;2026-03-03 06:00;Confirmed;505122
ORD-0006660;CUST-02742;2026-01-18;2026-01-20;High;1382;24,8;15;Pharma;MAT-9201;MUM-PLANT;SL-13;Temperature Controlled;WH-MUM-01;WH-SUR-01;2026-01-20 06:00;Confirmed;509096
ORD-0006661;CUST-02414;2026-03-23;2026-03-25;High;1013;23,71;19;Textiles;MAT-5012;CHE-PLANT;SL-8;Temperature Controlled;WH-CHE-01;WH-HYD-01;2026-03-25 06:00;Confirmed;791646
ORD-0006662;CUST-02367;2026-02-05;2026-02-07;Medium;1379;6,47;14;Textiles;MAT-6510;CHE-PLANT;SL-2;Hazardous;WH-CHE-01;WH-KOL-01;2026-02-07 06:00;Confirmed;201810
ORD-0006663;CUST-02325;2026-03-25;2026-03-27;Low;2632;24,27;1;Textiles;MAT-5547;CHE-PLANT;SL-12;Normal;WH-CHE-01;WH-BAN-01;2026-03-27 06:00;Confirmed;578164
ORD-0006664;CUST-02115;2026-03-13;2026-03-15;High;1455;20,79;6;Auto Parts;MAT-9327;KOL-PLANT;SL-13;Normal;WH-KOL-01;WH-GUW-01;2026-03-15 06:00;Confirmed;466073
ORD-0006665;CUST-02863;2026-02-17;2026-02-19;Medium;1743;17,37;6;Electronics;MAT-6959;KOL-PLANT;SL-11;Hazardous;WH-KOL-01;WH-BHU-01;2026-02-19 06:00;Confirmed;433747
ORD-0006666;CUST-02602;2026-01-11;2026-01-13;High;3677;3,05;9;Pharma;MAT-9447;PUN-PLANT;SL-11;Fragile;WH-PUN-01;WH-NAG-01;2026-01-13 06:00;Confirmed;387561
ORD-0006667;CUST-00685;2026-03-06;2026-03-08;High;3174;13,12;24;Electronics;MAT-4115;HYD-PLANT;SL-4;Normal;WH-HYD-01;WH-VIZ-01;2026-03-08 06:00;Confirmed;63701
ORD-0006668;CUST-03000;2026-02-14;2026-02-16;Low;2725;15,93;15;Textiles;MAT-9827;AHM-PLANT;SL-3;Hazardous;WH-AHM-01;WH-JAI-01;2026-02-16 06:00;Confirmed;368955
ORD-0006669;CUST-02750;2026-03-11;2026-03-13;Medium;1707;21,97;23;Pharma;MAT-9674;LUC-PLANT;SL-13;Normal;WH-LUC-01;WH-DEL-01;2026-03-13 06:00;Confirmed;187113
ORD-0006670;CUST-02646;2026-01-29;2026-01-31;High;2272;5,49;24;Machinery;MAT-5144;IND-PLANT;SL-13;Temperature Controlled;WH-IND-01;WH-MUM-01;2026-01-31 06:00;Confirmed;362996
ORD-0006671;CUST-00134;2026-03-02;2026-03-04;Low;3828;23,6;15;Steel;MAT-9508;COI-PLANT;SL-2;Hazardous;WH-COI-01;WH-CHE-01;2026-03-04 06:00;Confirmed;386852
ORD-0006672;CUST-02385;2026-02-18;2026-02-20;Low;202;5;18;Textiles;MAT-4725;PAT-PLANT;SL-15;Hazardous;WH-PAT-01;WH-KOL-01;2026-02-20 06:00;Confirmed;552497
ORD-0006673;CUST-00474;2026-03-21;2026-03-23;Medium;1879;20,92;20;Machinery;MAT-6847;RAN-PLANT;SL-12;Normal;WH-RAN-01;WH-DEL-01;2026-03-23 06:00;Confirmed;300518
ORD-0006674;CUST-00284;2026-02-28;2026-03-02;Medium;1021;22,84;6;Textiles;MAT-8948;GUW-PLANT;SL-4;Temperature Controlled;WH-GUW-01;WH-SIL-01;2026-03-02 06:00;Confirmed;656652
ORD-0006675;CUST-00587;2026-03-09;2026-03-11;Medium;658;14,86;28;Textiles;MAT-5156;BAN-PLANT;SL-4;Temperature Controlled;WH-BAN-01;WH-MYS-01;2026-03-11 06:00;Confirmed;54006
ORD-0006676;CUST-01568;2026-01-07;2026-01-09;High;3540;19,57;25;Pharma;MAT-8987;BAN-PLANT;SL-2;Normal;WH-BAN-01;WH-HYD-01;2026-01-09 06:00;Confirmed;359114
ORD-0006677;CUST-01943;2026-02-27;2026-03-01;Medium;2682;24,88;13;Auto Parts;MAT-1938;BAN-PLANT;SL-2;Temperature Controlled;WH-BAN-01;WH-CHE-01;2026-03-01 06:00;Confirmed;68274
ORD-0006678;CUST-01161;2026-02-06;2026-02-08;Low;611;23,89;3;Pharma;MAT-6646;BAN-PLANT;SL-6;Hazardous;WH-BAN-01;WH-MUM-01;2026-02-08 06:00;Confirmed;435603
ORD-0006679;CUST-01597;2026-03-14;2026-03-16;Medium;2742;4,03;10;Auto Parts;MAT-8722;BAN-PLANT;SL-6;Hazardous;WH-BAN-01;WH-DEL-01;2026-03-16 06:00;Confirmed;323696
ORD-0006680;CUST-01778;2026-02-24;2026-02-26;Medium;1633;8;23;Steel;MAT-7519;DEL-PLANT;SL-1;Hazardous;WH-DEL-01;WH-MUM-01;2026-02-26 06:00;Confirmed;241278
ORD-0006681;CUST-00453;2026-01-04;2026-01-06;Low;825;18,07;7;FMCG;MAT-4718;DEL-PLANT;SL-4;Normal;WH-DEL-01;WH-KOL-01;2026-01-06 06:00;Confirmed;193155
ORD-0006682;CUST-00318;2026-01-26;2026-01-28;Low;814;14,88;21;Pharma;MAT-3388;DEL-PLANT;SL-3;Fragile;WH-DEL-01;WH-JAI-01;2026-01-28 06:00;Confirmed;244640
ORD-0006683;CUST-02612;2026-02-22;2026-02-24;Low;480;16,08;11;Machinery;MAT-2818;MUM-PLANT;SL-11;Temperature Controlled;WH-MUM-01;WH-AHM-01;2026-02-24 06:00;Confirmed;683201
ORD-0006684;CUST-00773;2026-01-01;2026-01-03;Medium;1157;2,3;7;Pharma;MAT-2682;MUM-PLANT;SL-1;Hazardous;WH-MUM-01;WH-PUN-01;2026-01-03 06:00;Confirmed;72241
ORD-0006685;CUST-02988;2026-02-24;2026-02-26;Low;2953;19,77;2;Steel;MAT-5087;MUM-PLANT;SL-14;Fragile;WH-MUM-01;WH-SUR-01;2026-02-26 06:00;Confirmed;198794
ORD-0006686;CUST-02864;2026-03-27;2026-03-29;High;3617;24,26;4;Steel;MAT-8046;CHE-PLANT;SL-9;Fragile;WH-CHE-01;WH-HYD-01;2026-03-29 06:00;Confirmed;511974
ORD-0006687;CUST-00511;2026-01-29;2026-01-31;Medium;3413;4,5;26;FMCG;MAT-5413;CHE-PLANT;SL-8;Normal;WH-CHE-01;WH-KOL-01;2026-01-31 06:00;Confirmed;403017
ORD-0006688;CUST-00754;2026-01-05;2026-01-07;High;374;12,51;13;FMCG;MAT-6116;CHE-PLANT;SL-4;Hazardous;WH-CHE-01;WH-BAN-01;2026-01-07 06:00;Confirmed;433743
ORD-0006689;CUST-02653;2026-01-16;2026-01-18;Medium;462;20,28;24;Machinery;MAT-5680;KOL-PLANT;SL-1;Hazardous;WH-KOL-01;WH-GUW-01;2026-01-18 06:00;Confirmed;133600
